$x$,$y$,L,Parameters,R,Simulation,V,h,t
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.21
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.22
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.23
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.24
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.25
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.26
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.2700000000000005
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.28
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.29
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.3
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.3100000000000005
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.32
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.33
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.34
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.3500000000000005
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.36
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.37
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.38
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.390000000000001
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.4
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.41
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.42
0.7022022008895874,-0.014232141897082329,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.5186940431594849,-0.05577398091554642,7.43
