# sxe,sye,delta,ve,psi_e,psi_e_dot,beta,omega_ref,psi_ref,v_ref,a_ref,x_ref,y_ref
-2.373167773406237302e-10,-5.163599780644290149e-06,-1.491192233515903354e-05,0.000000000000000000e+00,-1.111509118345566094e-05,-2.220586501061916351e-02,-1.149470699601806700e-04,1.949945075464114622e-02,1.000136497929762891e+00,1.000000000000000000e+01,0.000000000000000000e+00,7.023355661742106126e-02,1.093949152998427155e-01
-3.457488462199620471e-10,-6.424221282941289246e-06,-1.605892248335294425e-05,0.000000000000000000e+00,-1.382150549034122378e-05,-2.410058304667472839e-02,-1.307681959588080645e-04,2.099931400672276627e-02,1.000157497243769678e+00,1.000000000000000000e+01,0.000000000000000000e+00,7.563525431548771827e-02,1.178104760047928856e-01
-4.902884209734281740e-10,-7.870118679420556873e-06,-1.720590444165281951e-05,0.000000000000000000e+00,-1.692277510301209986e-05,-2.601913362741470337e-02,-1.473541051382198930e-04,2.249915625949213543e-02,1.000179996400029081e+00,1.000000000000000000e+01,0.000000000000000000e+00,8.103676266917188287e-02,1.262261582412535776e-01
-6.791632256586410676e-10,-9.512887118034996092e-06,-1.835287002904806286e-05,0.000000000000000000e+00,-2.044275242951698601e-05,-2.796099521219730377e-02,-1.646644668653607368e-04,2.399897601310712475e-02,1.000203995376042210e+00,1.000000000000000000e+01,0.000000000000000000e+00,8.643806905354443904e-02,1.346419701059601848e-01
-9.217301366604147006e-10,-1.136395985668059438e-05,-1.949981560755986720e-05,0.000000000000000000e+00,-2.440477328491397202e-05,-2.992566674947738647e-02,-1.826603547669947147e-04,2.549877176774809073e-02,1.000229494147810039e+00,1.000000000000000000e+01,0.000000000000000000e+00,9.183916084329510343e-02,1.430579196946095699e-01
-1.228540491560181636e-09,-1.343461099168052897e-05,-2.064674481516703963e-05,0.000000000000000000e+00,-2.883166962419636548e-05,-3.191265091300010681e-02,-2.013041666941717267e-04,2.699854202361941929e-02,1.000256492689833632e+00,1.000000000000000000e+01,0.000000000000000000e+00,9.724002541270866662e-02,1.514740151017953118e-01
-1.611403899204333356e-09,-1.573597000970039517e-05,-2.179365219490136951e-05,0.000000000000000000e+00,-3.374577863723970950e-05,-3.392146155238151550e-02,-2.205595956183969975e-04,2.849828528095097249e-02,1.000284990975114585e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.026406501356412343e-01,1.598902644209427293e-01
-2.083451633438926365e-09,-1.827902451623231173e-05,-2.294053774676285684e-05,0.000000000000000000e+00,-3.916895730071701109e-05,-3.595162928104400635e-02,-2.403916150797158480e-04,2.999800003999961856e-02,1.000314988975154584e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.080410223854964824e-01,1.683066757442439609e-01
-3.612873111791259362e-09,-2.107462933054193854e-05,-2.408739783277269453e-05,0.000000000000000000e+00,-4.512258601607754827e-05,-3.800268843770027161e-02,-2.607663918752223253e-04,3.149768480105073071e-02,1.000346486659955625e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.134411295352018845e-01,1.767232571625931281e-01
-5.261954427737691731e-09,-2.413351830909959972e-05,-2.523423609090968966e-05,0.000000000000000000e+00,-5.162759043741971254e-05,-4.007418453693389893e-02,-2.816513297148048878e-04,3.299733806441965817e-02,1.000379483998020014e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.188409589571850500e-01,1.851400167655213869e-01
