px,pz,theta,vx,vz,theta_dot
-1.499999200676661593e+00,1.001492554472406260e-01,4.010420808342653881e-03,6.153037642140381485e-06,3.381700242836016557e-02,2.706940084768930110e-02
-1.499999194523623958e+00,1.001830724496689806e-01,4.037490209190343349e-03,-3.232433576884661619e-05,3.360129912845508798e-02,-2.857878564883675060e-02
-1.499999226847959832e+00,1.002166737487974330e-01,4.008911423541506973e-03,-7.113047489731662613e-05,3.340269785731189711e-02,-1.087976754176400995e-01
-1.499999297978434676e+00,1.002500764466547484e-01,3.900113748123866866e-03,-1.135172465931785524e-04,3.416577871301187258e-02,2.574191588680363463e-01
-1.499999411495681167e+00,1.002842422253677618e-01,4.157532906991902831e-03,-1.515750544332015017e-04,3.411385689567856400e-02,7.595383891756526951e-02
-1.499999563070735675e+00,1.003183560822634435e-01,4.233486745909467719e-03,-1.914590505729035828e-04,3.389698994653428388e-02,1.896092654765893504e-02
-1.499999754529786289e+00,1.003522530722099765e-01,4.252447672457126786e-03,-2.320782872260552599e-04,3.368168019263879237e-02,-3.814817123781608088e-02
-1.499999986608073543e+00,1.003859347524026085e-01,4.214299501219310323e-03,-2.729893414228841170e-04,3.349221188290909396e-02,-1.290978291795905064e-01
-1.500000259597414898e+00,1.004194269642855186e-01,4.085201672039719990e-03,-3.141508320571345832e-04,3.344925547856095888e-02,1.742318186137306602e-02
-1.500000573748246913e+00,1.004528762197640784e-01,4.102624853901093091e-03,-3.533515877455256551e-04,3.323499658586235445e-02,-4.002415322795660479e-02
-1.500000927099834680e+00,1.004861112163499409e-01,4.062600700673136243e-03,-3.928352117450573219e-04,3.304893342680037538e-02,-1.335851156272401252e-01
-1.500001319935046373e+00,1.005191601497767429e-01,3.929015585045896389e-03,-4.323773107292418270e-04,3.297207836363292427e-02,-3.729472233414299343e-03
-1.500001752312356995e+00,1.005521322281403701e-01,3.925286112812482499e-03,-4.700985896825900950e-04,3.276272362285113232e-02,-6.784954848374266656e-02
-1.500002222410946606e+00,1.005848949517632179e-01,3.857436564328739666e-03,-5.083804025556079966e-04,3.270529073741525877e-02,-2.442534906745742751e-01
-1.500002730791349270e+00,1.006176002425006322e-01,3.613183073654165512e-03,-5.454754109081410814e-04,3.251173516748172981e-02,-1.971339675921394419e-01
-1.500003276266760111e+00,1.006501119776681136e-01,3.416049106062025911e-03,-5.802552026773329314e-04,3.232749719197827026e-02,-1.405733023284804761e-01
-1.500003856521962886e+00,1.006824394748600943e-01,3.275475803733545344e-03,-6.133868804413007561e-04,3.221628894223942802e-02,-3.005206657838582762e-02
-1.500004469908843285e+00,1.007146557638023271e-01,3.245423737155159714e-03,-6.448810894299519770e-04,3.202140999475764499e-02,-1.118479819735289787e-01
-1.500005114789932703e+00,1.007466771737970807e-01,3.133575755181630760e-03,-6.781435938110214881e-04,3.246042223251970754e-02,1.851787294043077403e-01
-1.500005792933526427e+00,1.007791375960296054e-01,3.318754484585938365e-03,-7.082853774059358343e-04,3.226936470996453338e-02,9.300750292108088402e-02
-1.500006501218903887e+00,1.008114069607395635e-01,3.411761987507019433e-03,-7.401339756936884100e-04,3.205588096549754490e-02,3.546273768749847594e-02
-1.500007241352879550e+00,1.008434628417050616e-01,3.447224725194517753e-03,-7.728765666153372552e-04,3.184281767998221879e-02,-1.975711044877684341e-02
-1.500008014229446074e+00,1.008753056593850450e-01,3.427467614745740871e-03,-8.060004491826970813e-04,3.164163462699218915e-02,-9.285562071759098646e-02
-1.500008820229895345e+00,1.009069472940120338e-01,3.334611994028150068e-03,-8.924106472828135595e-04,4.704262695239771336e-02,-1.552412239224979063e+00
-1.500009712640542725e+00,1.009539899209644376e-01,1.782199754803171074e-03,-9.249827702077392496e-04,4.700048067963964044e-02,-1.373476055156086506e+00
-1.500010637623312881e+00,1.010009904016440779e-01,4.087236996470845676e-04,-9.423981622570644454e-04,4.696232222765948233e-02,-1.195077730133078608e+00
