sxe,sye,delta,ve,psi_e,psi_e_dot,beta,omega_ref,psi_ref,v_ref,a_ref,x_ref,y_ref
-1.052196603268384933e-04,4.910123243462294340e-05,2.749268524348735809e-02,-1.963505893945693970e-02,3.183125591021962464e-05,1.148101687431335449e-02,1.739210099913179874e-03,1.499975000124999583e-02,1.000082499243752920e+00,1.000000000000000000e+01,0.000000000000000000e+00,5.402745370099909517e-02,8.414888139248806465e-02
-1.248693151865154505e-04,6.677860073978081346e-05,2.379966340959072113e-02,-1.823068410158157349e-02,4.331227319198660553e-05,1.304629724472761154e-02,1.985668437555432320e-03,1.649966725201313170e-02,1.000098998911004955e+00,1.000000000000000000e+01,0.000000000000000000e+00,5.942964368609354037e-02,9.256412609272972325e-02
-1.431185810361057520e-04,8.703365165274590254e-05,2.010664157569408417e-02,-1.682630926370620728e-02,5.635857087327167392e-05,1.425726618617773056e-02,2.183114411309361458e-03,1.799956800311039093e-02,1.000116998479008146e+00,1.000000000000000000e+01,0.000000000000000000e+00,6.483168219954363320e-02,1.009794680286941748e-01
-1.599683164386078715e-04,1.093934697564691305e-04,1.641361974179744720e-02,-1.542193442583084106e-02,7.061583892209455371e-05,1.512114610522985458e-02,2.332903677597641945e-03,1.949945075464114622e-02,1.000136497929762891e+00,1.000000000000000000e+01,0.000000000000000000e+00,7.023355661742106126e-02,1.093949152998427155e-01
-1.754164986778050661e-04,1.333949330728501081e-04,1.272059790790081024e-02,-1.401755958795547485e-02,8.573698869440704584e-05,1.564501598477363586e-02,2.436356386169791222e-03,2.099931400672276627e-02,1.000157497243769678e+00,1.000000000000000000e+01,0.000000000000000000e+00,7.563525431548771827e-02,1.178104760047928856e-01
-1.894620800158008933e-04,1.585844438523054123e-04,9.027576074004173279e-03,-1.261318475008010864e-02,1.013820074149407446e-04,1.583581045269966125e-02,2.494758227840065956e-03,2.249915625949213543e-02,1.000179996400029081e+00,1.000000000000000000e+01,0.000000000000000000e+00,8.103676266917188287e-02,1.262261582412535776e-01
-2.021049440372735262e-04,1.845176157075911760e-04,5.334554705768823624e-03,-1.120880991220474243e-02,1.172178162960335612e-04,1.570032536983489990e-02,2.509361365810036659e-03,2.399897601310712475e-02,1.000203995376042210e+00,1.000000000000000000e+01,0.000000000000000000e+00,8.643806905354443904e-02,1.346419701059601848e-01
-2.133431116817519069e-04,2.107590989908203483e-04,1.641533337533473969e-03,-9.804435074329376221e-03,1.329181395703926682e-04,1.524521689862012863e-02,2.481384668499231339e-03,2.549877176774809073e-02,1.000229494147810039e+00,1.000000000000000000e+01,0.000000000000000000e+00,9.183916084329510343e-02,1.430579196946095699e-01
-2.231764810858294368e-04,2.368822315474972129e-04,-2.051488030701875687e-03,-8.400060236454010010e-03,1.481633516959846020e-04,1.447700709104537964e-02,2.412015572190284729e-03,2.699854202361941929e-02,1.000256492689833632e+00,1.000000000000000000e+01,0.000000000000000000e+00,9.724002541270866662e-02,1.514740151017953118e-01
-2.316021127626299858e-04,2.624688495416194201e-04,-5.744509398937225342e-03,-6.995685864239931107e-03,1.626403536647558212e-04,1.340208575129508972e-02,2.302409848198294640e-03,2.849828528095097249e-02,1.000284990975114585e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.026406501356412343e-01,1.598902644209427293e-01
