# px,py,theta,vx,vy,theta_dot
-1.499485419935301156e+00,1.104996880677540649e-01,-1.033379344145457235e-01,3.516992200214076603e-02,3.613104028494241726e-01,-2.500000000000000000e+00
-1.499450250013299124e+00,1.108609984706034890e-01,-1.058379344145457257e-01,3.681523028566870831e-02,3.673686674997087009e-01,-2.500000000000000000e+00
-1.499413434783013477e+00,1.112283671381032041e-01,-1.083379344145457279e-01,3.850019567292178868e-02,3.734227693057366460e-01,-2.500000000000000000e+00
-1.499374934587340613e+00,1.116017899074089464e-01,-1.108379344145457301e-01,4.022480763287181876e-02,3.794726091378607946e-01,-2.500000000000000000e+00
-1.499334709779707842e+00,1.119812625165468034e-01,-1.133379344145457324e-01,4.198905538669966270e-02,3.855180878930713484e-01,-2.500000000000000000e+00
-1.499292720724321182e+00,1.123667806044398726e-01,-1.158379344145457346e-01,4.379292790786259992e-02,3.915591064956151501e-01,-2.500000000000000000e+00
-1.499248927796413389e+00,1.127583397109354901e-01,-1.183379344145457368e-01,4.563641392216324227e-02,3.975955658976150220e-01,-2.500000000000000000e+00
-1.499203291382491310e+00,1.131559352768331111e-01,-1.208379344145457390e-01,4.751950190782000538e-02,4.036273670796888258e-01,-2.500000000000000000e+00
-1.499155771880583465e+00,1.135595626439128009e-01,-1.233379344145457412e-01,4.944218009553911358e-02,4.096544110515681902e-01,-2.500000000000000000e+00
-1.499106329700487850e+00,1.139692170549643641e-01,-1.258379344145457435e-01,5.140443646858814525e-02,4.156765988527172939e-01,-2.500000000000000000e+00
-1.499054925264019289e+00,1.143848936538170852e-01,-1.283379344145457457e-01,5.340625876287116020e-02,4.216938315529514814e-01,-2.500000000000000000e+00
-1.499001519005256355e+00,1.148065874853700374e-01,-1.308379344145457479e-01,5.544763446700533283e-02,4.277060102530553243e-01,-2.500000000000000000e+00
-1.498946071370789390e+00,1.152342934956230996e-01,-1.333379344145457501e-01,5.752855082239916040e-02,4.337130360854010158e-01,-2.500000000000000000e+00
-1.498888542819966974e+00,1.156680065317085004e-01,-1.358379344145457523e-01,5.964899482333219094e-02,4.397148102145660431e-01,-2.500000000000000000e+00
-1.498828893825143727e+00,1.161077213419230703e-01,-1.383379344145457546e-01,6.180895321703632622e-02,4.457112338379510263e-01,-2.500000000000000000e+00
-1.498767084871926780e+00,1.165534325757610207e-01,-1.408379344145457568e-01,6.400841250377863056e-02,4.517022081863972804e-01,-2.500000000000000000e+00
-1.498703076459422912e+00,1.170051347839474176e-01,-1.433379344145457590e-01,6.624735893694573552e-02,4.576876345248040434e-01,-2.500000000000000000e+00
-1.498636829100485901e+00,1.174628224184722236e-01,-1.458379344145457612e-01,6.852577852312970175e-02,4.636674141527456494e-01,-2.500000000000000000e+00
-1.498568303321962780e+00,1.179264898326249644e-01,-1.483379344145457635e-01,7.084365702221553929e-02,4.696414484050882576e-01,-2.500000000000000000e+00
-1.498497459664940523e+00,1.183961312810300481e-01,-1.508379344145457657e-01,7.320097994747018499e-02,4.756096386526066921e-01,-2.500000000000000000e+00
-1.498424258684992960e+00,1.188717409196826530e-01,-1.533379344145457679e-01,7.559773256563302735e-02,4.815718863026007823e-01,-2.500000000000000000e+00
-1.498348660952427247e+00,1.193533128059852538e-01,-1.558379344145457701e-01,7.803389989700799945e-02,4.875280927995114810e-01,-2.500000000000000000e+00
