sxe,sye,delta,ve,psi_e,omega_ref,psi_ref,v_ref,a_ref,x_ref,y_ref
3.095488136750645936e-05,-5.944477379671297967e-06,3.073513740673661232e-03,4.101786762475967407e-03,-1.132699690060690045e-04,2.399897601310712475e-02,1.000203995376042210e+00,1.000000000000000000e+01,0.000000000000000000e+00,8.643806905354443904e-02,1.346419701059601848e-01
3.505648419377394021e-05,-7.078430826368276030e-06,3.259542398154735565e-03,4.354726988822221756e-03,-1.268459454877302051e-04,2.549877176774809073e-02,1.000229494147810039e+00,1.000000000000000000e+01,0.000000000000000000e+00,9.183916084329510343e-02,1.430579196946095699e-01
3.941077011404559016e-05,-8.348389201273676008e-06,3.445571055635809898e-03,4.607667215168476105e-03,-1.411997218383476138e-04,2.699854202361941929e-02,1.000256492689833632e+00,1.000000000000000000e+01,0.000000000000000000e+00,9.724002541270866662e-02,1.514740151017953118e-01
4.401773185236379504e-05,-9.762160516402218491e-06,3.631599713116884232e-03,4.860607441514730453e-03,-1.563312398502603173e-04,2.849828528095097249e-02,1.000284990975114585e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.026406501356412343e-01,1.598902644209427293e-01
4.887831892119720578e-05,-1.132755369326332584e-05,3.806767286732792854e-03,5.090073682367801666e-03,-1.722404267638921738e-04,2.999800003999961856e-02,1.000314988975154584e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.080410223854964824e-01,1.683066757442439609e-01
5.396772030508145690e-05,-1.305237401538761333e-05,3.981934860348701477e-03,5.319539923220872879e-03,-1.889693958219140768e-04,3.149768480105073071e-02,1.000346486659955625e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.134411295352018845e-01,1.767232571625931281e-01
5.928688551648519933e-05,-1.494485422881552950e-05,4.157102201133966446e-03,5.549006164073944092e-03,-2.065180742647498846e-04,3.299733806441965817e-02,1.000379483998020014e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.188409589571850500e-01,1.851400167655213869e-01
6.483580364147201180e-05,-1.701322617009282112e-05,4.332269541919231415e-03,5.778472404927015305e-03,-2.248864038847386837e-04,3.449695833045327009e-02,1.000413980956350368e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.242404980233499656e-01,1.935569626411320354e-01
7.061350333970040083e-05,-1.926572440424934030e-05,4.507436882704496384e-03,6.007938645780086517e-03,-2.440743119223043323e-04,3.599654409953143008e-02,1.000449977500449839e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.296397341050533336e-01,2.019741028760356216e-01
7.662092684768140316e-05,-2.171058076783083379e-05,4.682604223489761353e-03,6.237404886633157730e-03,-2.640817256178706884e-04,3.749609387206849498e-02,1.000487473594321886e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.350386545730808407e-01,2.103914455552850504e-01
8.285711373900994658e-05,-2.435603346384596080e-05,4.857771564275026321e-03,6.466871127486228943e-03,-2.849086013156920671e-04,3.899560614851481366e-02,1.000526469200470503e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.404372467976235384e-01,2.188089987623106636e-01
8.932204218581318855e-05,-2.721031705732457340e-05,5.032938905060291290e-03,6.696337368339300156e-03,-3.065548371523618698e-04,4.049507942935822585e-02,1.000566964279899773e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.458354981482541668e-01,2.272267705788553749e-01
9.601665078662335873e-05,-3.028166975127533078e-05,5.208106245845556259e-03,6.925803609192371368e-03,-3.290203749202191830e-04,4.199451221512558174e-02,1.000608958792114977e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.512333959939035077e-01,2.356447690849097776e-01
1.029399645631201565e-04,-3.357832974870689213e-05,5.383273586630821228e-03,7.155269850045442581e-03,-3.523051564116030931e-04,4.349390300638423384e-02,1.000652452695121264e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.566309277028367641e-01,2.440630023586471964e-01
1.100929221138358116e-04,-3.710853343363851309e-05,5.549481138586997986e-03,7.363720331341028214e-03,-3.764090652111917734e-04,4.499325030374348722e-02,1.000697445945424979e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.620280806426299958e-01,2.524814784763588227e-01
1.174535645986907184e-04,-4.088051355211064219e-05,5.715688690543174744e-03,7.572170812636613846e-03,-4.013668803963810205e-04,4.649255260785620236e-02,1.000743938498032781e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.674248421801464715e-01,2.609002055123888497e-01
1.250228233402594924e-04,-4.490285937208682299e-05,5.881896242499351501e-03,7.780621293932199478e-03,-4.271784855518490076e-04,4.799180841942017606e-02,1.000791930306452304e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.728211996815131046e-01,2.693191915390695246e-01
1.328006765106692910e-04,-4.918415652355179191e-05,6.048103794455528259e-03,7.989071309566497803e-03,-4.538438224699348211e-04,4.949101623917973036e-02,1.000841421322691494e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.782171405120969165e-01,2.777384446266562557e-01
1.407861418556421995e-04,-5.373299063649028540e-05,6.214311346411705017e-03,8.197521790862083435e-03,-4.813628329429775476e-04,5.099017456792717673e-02,1.000892411497259493e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.836126520364815273e-01,2.861579728432627201e-01
1.489801506977528334e-04,-5.855795461684465408e-05,6.380518898367881775e-03,8.405972272157669067e-03,-5.097354296594858170e-04,5.248928190650429398e-02,1.000944900779165980e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.890077216184436193e-01,2.945777842547960823e-01
1.573817280586808920e-04,-6.366763409459963441e-05,6.546726450324058533e-03,8.614422753453254700e-03,-5.389614962041378021e-04,5.398833675580388264e-02,1.000998889115921830e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.944023366209294001e-01,3.029978869248919349e-01
1.659917761571705341e-04,-6.907062197569757700e-05,6.712934002280235291e-03,8.822873234748840332e-03,-5.690410034731030464e-04,5.548733761677120818e-02,1.001054376453538675e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.997964844060312051e-01,3.114182889148495170e-01
1.748083741404116154e-04,-7.477551116608083248e-05,6.879141554236412048e-03,9.031323716044425964e-03,-5.999738350510597229e-04,5.698628299040554845e-02,1.001111362736529120e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.051901523349640155e-01,3.198389982835667111e-01
1.838333846535533667e-04,-8.079089457169175148e-05,7.045349106192588806e-03,9.239774197340011597e-03,-6.317599327303469181e-04,5.848517137776164387e-02,1.001169847907906973e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.105833277680419779e-01,3.282600230874753167e-01
1.930667785927653313e-04,-8.712535782251507044e-05,7.204453460872173309e-03,9.429457597434520721e-03,-6.643991800956428051e-04,5.998400127995123787e-02,1.001229831909187018e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.159759980646550892e-01,3.366813713804760466e-01
2.024884888669475913e-04,-9.378748654853552580e-05,7.363557815551757812e-03,9.619140997529029846e-03,-6.979191093705594540e-04,6.148277119814456182e-02,1.001291314680385236e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.213681505832457430e-01,3.451030512138736905e-01
2.120984863722696900e-04,-1.007861428661271930e-04,7.522662170231342316e-03,9.808824397623538971e-03,-7.323196623474359512e-04,6.298147963357178525e-02,1.001354296160018809e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.267597726812854153e-01,3.535250706363121109e-01
