# px,py,pz,vx,vy,vz,phi,theta,psi
1.020885749613438920e+00,1.025512352906924551e+00,9.775749756913874045e-01,7.269204235367878741e-01,1.124296812395852330e+00,-8.657777180099228698e-01,7.599999999999997868e-01,1.081577297210694510e+00,1.000000000000000000e+00
1.021612670036975645e+00,1.026636649719320449e+00,9.767091979733775187e-01,7.152648683636719795e-01,1.128571740447077421e+00,-8.604688548285015504e-01,7.499999999999997780e-01,1.084976351261140115e+00,1.000000000000000000e+00
1.022327934905339353e+00,1.027765221459767453e+00,9.758487291185490298e-01,7.035882885912012608e-01,1.132774448182525040e+00,-8.551735012064417552e-01,7.399999999999997691e-01,1.088375405311585720e+00,1.000000000000000000e+00
1.023031523193930648e+00,1.028897995907950058e+00,9.749935556173425777e-01,6.918908191254093953e-01,1.136905047575086147e+00,-8.498906128333536536e-01,7.299999999999997602e-01,1.091774459362031324e+00,1.000000000000000000e+00
1.023723414013055999e+00,1.030034900955525190e+00,9.741436650045092183e-01,6.801725951136802228e-01,1.140963665071701216e+00,-8.446191488856766849e-01,7.199999999999997513e-01,1.095173513412476929e+00,1.000000000000000000e+00
1.024403586608169769e+00,1.031175864620596849e+00,9.732990458556235458e-01,6.684337519431865493e-01,1.144950441532836649e+00,-8.393580722235043368e-01,7.099999999999997424e-01,1.098572567462922533e+00,1.000000000000000000e+00
1.025072020360112912e+00,1.032320815062129693e+00,9.724596877834000841e-01,6.566744252393256209e-01,1.148865532169310200e+00,-8.341063495864973198e-01,6.999999999999997335e-01,1.101971621513368138e+00,1.000000000000000000e+00
1.025728694785352335e+00,1.033469680594299112e+00,9.716255814338136121e-01,6.448947508641525994e-01,1.152709106476474510e+00,-8.288629517888501663e-01,6.899999999999997247e-01,1.105370675563813743e+00,1.000000000000000000e+00
1.026373589536216491e+00,1.034622389700775580e+00,9.707967184820247564e-01,6.330948649148104845e-01,1.156481348165776746e+00,-8.236268539132755029e-01,6.799999999999997158e-01,1.108769729614259347e+00,1.000000000000000000e+00
1.027006684401131409e+00,1.035778871048941285e+00,9.699730916281115167e-01,6.212749037219579273e-01,1.160182455093704323e+00,-8.183970355039708044e-01,6.699999999999997069e-01,1.112168783664704952e+00,1.000000000000000000e+00
1.027627959304853400e+00,1.036939053504035035e+00,9.691546945926075018e-01,6.094350038481939347e-01,1.163812639188133602e+00,-8.131724807585326564e-01,6.599999999999996980e-01,1.115567837715150556e+00,1.000000000000000000e+00
1.028237394308701536e+00,1.038102866143223224e+00,9.683415221118489846e-01,5.975753020864803533e-01,1.167372126372095309e+00,-8.079521787187839976e-01,6.499999999999996891e-01,1.118966891765596161e+00,1.000000000000000000e+00
1.028834969610787908e+00,1.039270238269595303e+00,9.675335699331302219e-01,5.856959354585612454e-01,1.170861156484972687e+00,-8.027351234604792607e-01,6.399999999999996803e-01,1.122365945816041766e+00,1.000000000000000000e+00
1.029420665546246560e+00,1.040441099426080207e+00,9.667308348096697035e-01,5.737970412133798215e-01,1.174279983201148347e+00,-7.975203142818526603e-01,6.299999999999996714e-01,1.125764999866487370e+00,1.000000000000000000e+00
1.029994462587459969e+00,1.041615379409281283e+00,9.659333144953878847e-01,5.618787568254925979e-01,1.177628873946114041e+00,-7.923067558909769881e-01,6.199999999999996625e-01,1.129164053916932975e+00,1.000000000000000000e+00
1.030556341344285531e+00,1.042793008283227296e+00,9.651410077394969589e-01,5.499412199934814449e-01,1.180908109810063111e+00,-7.870934585918967219e-01,6.099999999999996536e-01,1.132563107967378579e+00,1.000000000000000000e+00
1.031106282564278942e+00,1.043973916393037271e+00,9.643539142809051112e-01,5.379845686383623038e-01,1.184117985458981392e+00,-7.818794384695036959e-01,5.999999999999996447e-01,1.135962162017824184e+00,1.000000000000000000e+00
