# sxe,sye,delta,ve,psi_e,omega_ref,psi_ref,v_ref,a_ref,x_ref,y_ref
-1.512514025137079443e-08,-4.387352237245067954e-05,0.000000000000000000e+00,0.000000000000000000e+00,-5.264692008495330811e-04,3.899560614851481366e-02,1.000526469200470503e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.404372467976235384e-01,2.188089987623106636e-01
-1.785547709687307361e-08,-4.913821612717583776e-05,0.000000000000000000e+00,0.000000000000000000e+00,-5.669642705470323563e-04,4.049507942935822585e-02,1.000566964279899773e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.458354981482541668e-01,2.272267705788553749e-01
-2.182636116287994810e-08,-5.480785694089718163e-05,0.000000000000000000e+00,0.000000000000000000e+00,-6.089587695896625519e-04,4.199451221512558174e-02,1.000608958792114977e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.512333959939035077e-01,2.356447690849097776e-01
-2.611751703796016955e-08,-6.089744420023635030e-05,0.000000000000000000e+00,0.000000000000000000e+00,-6.524526979774236679e-04,4.349390300638423384e-02,1.000652452695121264e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.566309277028367641e-01,2.440630023586471964e-01
-3.076483778841065941e-08,-6.742197001585736871e-05,0.000000000000000000e+00,0.000000000000000000e+00,-6.974459392949938774e-04,4.499325030374348722e-02,1.000697445945424979e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.620280806426299958e-01,2.524814784763588227e-01
-3.580680640880018473e-08,-7.439642649842426181e-05,0.000000000000000000e+00,0.000000000000000000e+00,-7.439384935423731804e-04,4.649255260785620236e-02,1.000743938498032781e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.674248421801464715e-01,2.609002055123888497e-01
-4.223824845439594355e-08,-8.183580939657986164e-05,0.000000000000000000e+00,0.000000000000000000e+00,-7.919303025119006634e-04,4.799180841942017606e-02,1.000791930306452304e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.728211996815131046e-01,2.693191915390695246e-01
-4.914940987532645522e-08,-8.975510718300938606e-05,0.000000000000000000e+00,0.000000000000000000e+00,-8.414213079959154129e-04,4.949101623917973036e-02,1.000841421322691494e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.782171405120969165e-01,2.777384446266562557e-01
-5.754073484354194079e-08,-9.816931560635566711e-05,0.000000000000000000e+00,0.000000000000000000e+00,-8.924115099944174290e-04,5.099017456792717673e-02,1.000892411497259493e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.836126520364815273e-01,2.861579728432627201e-01
-6.650827089060840080e-08,-1.070934231393039227e-04,0.000000000000000000e+00,0.000000000000000000e+00,-9.449007920920848846e-04,5.248928190650429398e-02,1.000944900779165980e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.890077216184436193e-01,2.945777842547960823e-01
-7.610476160380130750e-08,-1.165424255304969847e-04,0.000000000000000000e+00,0.000000000000000000e+00,-9.988890960812568665e-04,5.398833675580388264e-02,1.000998889115921830e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.944023366209294001e-01,3.029978869248919349e-01
-8.733976386565700523e-08,-1.265313185285776854e-04,0.000000000000000000e+00,0.000000000000000000e+00,-1.054376480169594288e-03,5.548733761677120818e-02,1.001054376453538675e+00,1.000000000000000000e+01,0.000000000000000000e+00,1.997964844060312051e-01,3.114182889148495170e-01
-1.002723593046539463e-07,-1.370750833302736282e-04,0.000000000000000000e+00,0.000000000000000000e+00,-1.111362711526453495e-03,5.698628299040554845e-02,1.001111362736529120e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.051901523349640155e-01,3.198389982835667111e-01
-1.140112644293367339e-07,-1.481887011323124170e-04,0.000000000000000000e+00,0.000000000000000000e+00,-1.169847906567156315e-03,5.848517137776164387e-02,1.001169847907906973e+00,1.000000000000000000e+01,0.000000000000000000e+00,2.105833277680419779e-01,3.282600230874753167e-01
