sxe,sye,delta,ve,psi_e,omega_ref,psi_ref,v_ref,a_ref,x_ref,y_ref
3.374302832526154816e-05,3.716737555805593729e-04,2.991891466081142426e-03,4.281595814973115921e-03,4.679379984736442566e-03,-2.694333037487004479e-01,9.954196338362715224e-01,1.000000000000000000e+01,0.000000000000000000e+00,9.219792336211282691e-02,1.428267922216940045e-01
3.781521081691607833e-05,4.184965218883007765e-04,3.144463757053017616e-03,4.525394644588232040e-03,4.960419610142707825e-03,-2.694333037487004479e-01,9.951502005325227884e-01,1.000000000000000000e+01,0.000000000000000000e+00,9.764169237523134814e-02,1.512151996350121208e-01
4.210461338516324759e-05,4.681331338360905647e-04,3.297036048024892807e-03,4.769193474203348160e-03,5.242051556706428528e-03,-2.694333037487004479e-01,9.948807672287740544e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.030877213070517801e-01,1.596021400112026534e-01
4.661047933041118085e-05,5.205897614359855652e-04,3.400719258934259415e-03,4.979594144970178604e-03,5.524275824427604675e-03,-2.694333037487004479e-01,9.946113339250253205e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.085360097622234260e-01,1.679876127414214604e-01
5.129675992066040635e-05,5.758723127655684948e-04,3.504402469843626022e-03,5.189994815737009048e-03,5.806902423501014709e-03,-2.694333037487004479e-01,9.943419006212765865e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.139865573452315817e-01,1.763716172169310092e-01
5.616269481834024191e-05,6.339849787764251232e-04,3.608085680752992630e-03,5.400395486503839493e-03,6.089931353926658630e-03,-2.694333037487004479e-01,9.940724673175278525e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.194393636603975212e-01,1.847541528291002932e-01
6.120752368588000536e-05,6.949319504201412201e-04,3.711768891662359238e-03,5.610796157270669937e-03,6.373363081365823746e-03,-2.694333037487004479e-01,9.938030340137791185e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.248944283118785803e-01,1.931352189694049981e-01
6.642761582043021917e-05,7.587174186483025551e-04,3.815452102571725845e-03,5.821196828037500381e-03,6.657197140157222748e-03,-2.694333037487004479e-01,9.935336007100303846e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.303517509036681288e-01,2.015148150294274187e-01
7.182221452239900827e-05,8.253455744124948978e-04,3.919135313481092453e-03,6.031597498804330826e-03,6.941433995962142944e-03,-2.694333037487004479e-01,9.932641674062816506e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.358113310395956119e-01,2.098929404008566535e-01
7.739054854027926922e-05,8.948205504566431046e-04,4.022818524390459061e-03,6.241998169571161270e-03,7.226073183119297028e-03,-2.694333037487004479e-01,9.929947341025329166e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.412731683233266200e-01,2.182695944754884654e-01
