px,py,pz,vx,vy,vz,phi,theta,psi
-2.129621813110257555e+00,-2.860810906237404860e-01,-1.860445016911063565e+00,-2.075646250912886182e-01,-1.546413697703533097e-02,2.157150552332828819e-02,-4.991745696406080929e-02,-4.059272347829401273e-02,2.572921229396201159e+00
-2.129829377735348750e+00,-2.860965547607175474e-01,-1.860423445405540166e+00,-2.072423012853152613e-01,-1.586012097817547303e-02,2.345531952523860486e-02,-3.736090482335754914e-02,-4.688976034442516455e-02,2.570300732484542383e+00
-2.130036620036634076e+00,-2.861124148816956980e-01,-1.860399990086014865e+00,-2.068189908357748186e-01,-1.619708138401940861e-02,2.425045191909024067e-02,-1.548188263233078732e-02,-5.549563022183029437e-02,2.568511855922434250e+00
-2.130243439027470043e+00,-2.861286119630797042e-01,-1.860375739634095860e+00,-2.042378171370259066e-01,-1.691639569780552591e-02,-1.239751830630866219e-02,-7.755041754179288482e-02,4.455299244911017920e-04,2.611271517145091980e+00
-2.130447676844607230e+00,-2.861455283587774900e-01,-1.860388137152402255e+00,-2.042409291215034894e-01,-1.745753522093734106e-02,-9.551430153088753122e-03,-7.300759124169600711e-02,-3.725333983145905775e-03,2.608446473996565373e+00
-2.130651917773728865e+00,-2.861629858939984117e-01,-1.860397688582555276e+00,-2.042151608984814348e-01,-1.796207962368320463e-02,-6.639995768421339678e-03,-6.804794983433910815e-02,-8.065298349741307354e-03,2.605610457674004898e+00
-2.130856132934627389e+00,-2.861809479736220907e-01,-1.860404328578323607e+00,-2.041600690194143031e-01,-1.842652811466951104e-02,-3.644769627667112256e-03,-6.255736944748996331e-02,-1.262474500920622578e-02,2.602762048596512390e+00
-2.131060293003646855e+00,-2.861993745017367696e-01,-1.860407973347951271e+00,-2.040752947057450639e-01,-1.884630040934671263e-02,-5.362114094238368267e-04,-5.635896037718182705e-02,-1.748249240257695319e-02,2.599900058692631966e+00
-2.131264368298352530e+00,-2.862182208021460950e-01,-1.860408509559360768e+00,-2.039608391657141695e-01,-1.921504211505141793e-02,2.737983012704381641e-03,-4.915263214320970964e-02,-2.277387530387229436e-02,2.597024826575814238e+00
-2.131468329137518047e+00,-2.862374358442611455e-01,-1.860405771576348011e+00,-2.038180304179454672e-01,-1.952308747549917275e-02,6.285912604881970303e-03,-4.035409432371089150e-02,-2.876689481677240090e-02,2.594143864091955187e+00
-2.131672147167936071e+00,-2.862569589317366381e-01,-1.860399485663743135e+00,-2.036540249550257697e-01,-1.975302785034797545e-02,1.040093792002198987e-02,-2.851973316589838034e-02,-3.614212423164767790e-02,2.591305365048984566e+00
-2.131875801192891107e+00,-2.862767119595869825e-01,-1.860389084725823095e+00,-2.035232689082300261e-01,-1.985614847440576869e-02,1.659615431189514698e-02,-7.561247233571107007e-03,-4.795964129980359592e-02,2.589038312803409791e+00
-2.132079324461799263e+00,-2.862965681080613667e-01,-1.860372488571511163e+00,-2.034053417741440162e-01,-1.987472626066762171e-02,2.394922734723899799e-02,-7.797221038502979984e-02,-3.007562744084359835e-02,2.608831085428108043e+00
-2.132282729803573584e+00,-2.863164428343220602e-01,-1.860348539344163887e+00,-2.031704385543211533e-01,-2.048292147069310370e-02,2.597488769581227791e-02,-7.158973825707247440e-02,-3.430213397807534842e-02,2.606042142371936432e+00
-2.132485900242127919e+00,-2.863369257557927261e-01,-1.860322564456468042e+00,-2.028981488785039089e-01,-2.105049142687007505e-02,2.787034543461450881e-02,-6.437467405376197382e-02,-3.873944459010657954e-02,2.603260240479028376e+00
-2.132688798391006557e+00,-2.863579762472195922e-01,-1.860294694111033431e+00,-2.025842453778045615e-01,-2.157149473368759687e-02,2.959823210067842950e-02,-5.590390786732356981e-02,-4.348534543846178241e-02,2.600498232410628052e+00
-2.132891382636384225e+00,-2.863795477419532887e-01,-1.860265095878932851e+00,-2.022189833232661549e-01,-2.204052805454935829e-02,3.102698252576580051e-02,-4.535589628034181892e-02,-4.870395739637159438e-02,2.597797502237042089e+00
-2.133093601619707513e+00,-2.864015882700078341e-01,-1.860234068896407189e+00,-2.017702078241392083e-01,-2.245797966971714923e-02,3.163938407519338580e-02,-3.057684738679374015e-02,-5.472158393615266653e-02,2.595336112293040731e+00
-2.133295371827531817e+00,-2.864240462496775441e-01,-1.860202429512332056e+00,-2.009776252482870507e-01,-2.290034093997094650e-02,2.698669617540627383e-02,-5.149792116586199286e-04,-6.167300242484985429e-02,2.595085219000630161e+00
-2.133496349452780105e+00,-2.864469465906175349e-01,-1.860175442816156544e+00,-2.001797901694021553e-01,-2.290699453867186750e-02,2.387656665929348623e-02,-2.639185565214937843e-02,-4.988415966650544542e-02,2.597518077891745936e+00
-2.133696529242949502e+00,-2.864698535851561978e-01,-1.860151566249497179e+00,-1.995947700692080329e-01,-2.321621426425136969e-02,2.197280417474550829e-02,7.973572090259891526e-03,-6.034984926078793693e-02,2.597877573475643409e+00
-2.133896124013018536e+00,-2.864930697994204634e-01,-1.860129593445322360e+00,-1.990360843582593686e-01,-2.314248973633799972e-02,2.253688971426197341e-02,-1.102910591496750192e-02,-5.415452044346225763e-02,2.597977392039651612e+00
-2.134095160097376986e+00,-2.865162122891568020e-01,-1.860107056555608152e+00,-1.963993610831663295e-01,-2.367894868829773306e-02,-1.629143184020920981e-02,-8.077386301401819069e-02,8.530890404685652351e-03,2.652552534036388909e+00
-2.134291559458460164e+00,-2.865398912378451235e-01,-1.860123347987448383e+00,-1.964600653986522949e-01,-2.425308255527325318e-02,-1.357388319240026946e-02,-7.684096641344163869e-02,4.611923025422274072e-03,2.649706985863629072e+00
-2.134488019523858693e+00,-2.865641443204003935e-01,-1.860136921870640725e+00,-1.964926862271523245e-01,-2.479605177091467189e-02,-1.081611275104316094e-02,-7.262539940009969663e-02,5.838192765555156455e-04,2.646852570017859119e+00
-2.134684512210085927e+00,-2.865889403721713080e-01,-1.860147737983391725e+00,-1.964967862997056003e-01,-2.530564042676406930e-02,-8.010444731206704805e-03,-6.807034668676915923e-02,-3.577835973786921454e-03,2.643988009446113008e+00
-2.134881008996385443e+00,-2.866142460125980507e-01,-1.860155748428123035e+00,-1.964718780906047069e-01,-2.577916524376587873e-02,-5.146100858005589994e-03,-6.309703875755254265e-02,-7.907091566112370296e-03,2.641111794368419030e+00
