sxe,sye,delta,ve,psi_e,psi_e_dot,beta,omega_ref,psi_ref,v_ref,a_ref,x_ref,y_ref
-6.033164681866765022e-04,3.015262074768543243e-03,1.761095598340034485e-03,-1.698122918605804443e-02,4.659049212932586670e-03,2.524243891239166260e-01,1.218476239591836929e-02,-4.012670711123775824e-01,9.859556525110648728e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.912265094997817327e-01,2.931388923224588772e-01
-6.229237187653779984e-04,3.183164168149232864e-03,-6.506416015326976776e-03,-1.474623661488294601e-02,4.911473486572504044e-03,2.560720443725585938e-01,1.204510964453220367e-02,-4.012670711123775824e-01,9.855543854399524406e-01,1.000000000000000000e+01,0.000000000000000000e+00,1.967505202557645883e-01,3.014746769386654202e-01
-6.403829902410507202e-04,3.352221800014376640e-03,-1.477392762899398804e-02,-1.251124404370784760e-02,5.167545750737190247e-03,2.590118050575256348e-01,1.181742269545793533e-02,-4.012670711123775824e-01,9.851531183688400084e-01,1.000000000000000000e+01,0.000000000000000000e+00,2.022778754428110337e-01,3.098082442802203573e-01
-6.556803709827363491e-04,3.521593753248453140e-03,-2.304143831133842468e-02,-1.027625147253274918e-02,5.426557734608650208e-03,2.612577080726623535e-01,1.150412857532501221e-02,-4.012670711123775824e-01,9.847518512977275762e-01,1.000000000000000000e+01,0.000000000000000000e+00,2.078085741709325418e-01,3.181395930052921539e-01
-6.688017165288329124e-04,3.690455574542284012e-03,-3.130894899368286133e-02,-8.041258901357650757e-03,5.687815602868795395e-03,2.628235518932342529e-01,1.110759191215038300e-02,-4.012670711123775824e-01,9.843505842266151440e-01,1.000000000000000000e+01,0.000000000000000000e+00,2.133426155496022103e-01,3.264687217724064894e-01
-6.797334644943475723e-04,3.857998410239815712e-03,-2.468397468328475952e-02,-1.040364615619182587e-02,5.950639024376869202e-03,2.626345157623291016e-01,1.064073201268911362e-02,-4.012670711123775824e-01,9.839493171555027118e-01,1.000000000000000000e+01,0.000000000000000000e+00,2.188799986877549286e-01,3.347956292404465906e-01
-6.930603994987905025e-04,4.023459274321794510e-03,-1.805900037288665771e-02,-1.276603341102600098e-02,6.213273387402296066e-03,2.630712985992431641e-01,1.027088426053524017e-02,-4.012670711123775824e-01,9.835480500843902796e-01,1.000000000000000000e+01,0.000000000000000000e+00,2.244207226937875166e-01,3.431203140686532316e-01
-7.087978301569819450e-04,4.187804646790027618e-03,-1.143402513116598129e-02,-1.512842066586017609e-02,6.476344540715217590e-03,2.641188502311706543e-01,9.995180182158946991e-03,-4.012670711123775824e-01,9.831467830132778474e-01,1.000000000000000000e+01,0.000000000000000000e+00,2.299647866755588632e-01,3.514427749166251780e-01
-7.269605994224548340e-04,4.351978655904531479e-03,-4.809049889445304871e-03,-1.749080792069435120e-02,6.740463431924581528e-03,2.657624185085296631e-01,9.810832329094409943e-03,-4.012670711123775824e-01,9.827455159421654152e-01,1.000000000000000000e+01,0.000000000000000000e+00,2.355121897403900377e-01,3.597630104443191867e-01
-7.475648890249431133e-04,4.516902845352888107e-03,1.815925352275371552e-03,-1.985319517552852631e-02,7.006226107478141785e-03,2.679876685142517090e-01,9.715129621326923370e-03,-4.012670711123775824e-01,9.823442488710529830e-01,1.000000000000000000e+01,0.000000000000000000e+00,2.410629309950645116e-01,3.680810193120503948e-01
-7.706261822022497654e-04,4.683476872742176056e-03,8.440900593996047974e-03,-2.221558243036270142e-02,7.274213712662458420e-03,2.707805931568145752e-01,9.705437347292900085e-03,-4.012670711123775824e-01,9.819429817999405508e-01,1.000000000000000000e+01,0.000000000000000000e+00,2.466170095458282419e-01,3.763968001804924302e-01
-7.961594965308904648e-04,4.852578975260257721e-03,1.506587583571672440e-02,-2.457796968519687653e-02,7.544994354248046875e-03,2.741275131702423096e-01,9.779195301234722137e-03,-4.012670711123775824e-01,9.815417147288281186e-01,1.000000000000000000e+01,0.000000000000000000e+00,2.521744244983897820e-01,3.847103517106776338e-01
-8.241820614784955978e-04,5.025066900998353958e-03,2.169085107743740082e-02,-2.694035694003105164e-02,7.819121703505516052e-03,2.780150771141052246e-01,9.933913126587867737e-03,-4.012670711123775824e-01,9.811404476577156863e-01,1.000000000000000000e+01,0.000000000000000000e+00,2.577351749579205875e-01,3.930216725639973929e-01
-8.547104662284255028e-04,5.201778840273618698e-03,2.831582725048065186e-02,-2.930274419486522675e-02,8.097136393189430237e-03,2.824302315711975098e-01,1.016717124730348587e-02,-4.012670711123775824e-01,9.807391805866032541e-01,1.000000000000000000e+01,0.000000000000000000e+00,2.632992600290549046e-01,4.013307614022021963e-01
