$x$,$y$,Goal region,QP relaxation,Safe region,Unsafe region,V
-1.836734652519226,-0.5306122899055481,0.0,3.4198121447334923e-16,0.0,1.0,3.019132137298584
-1.836734652519226,-0.44897961616516113,0.0,3.038112099525511e-16,0.0,1.0,2.9760165214538574
-1.836734652519226,-0.36734697222709656,0.0,3.561589313538305e-16,0.0,1.0,2.936720848083496
-1.836734652519226,-0.285714328289032,0.0,3.9594306303474013e-16,0.0,1.0,2.9013447761535645
-1.836734652519226,-0.20408165454864502,0.0,1.126123209473659e-15,0.0,1.0,2.8699800968170166
-1.836734652519226,-0.12244904041290283,0.0,1.993946792176553e-16,0.0,1.0,2.8427062034606934
-1.836734652519226,-0.04081636667251587,0.0,3.6006592376260018e-16,0.0,1.0,2.8195934295654297
-1.836734652519226,0.0408162847161293,0.0,1.626642495423632e-15,0.0,1.0,2.800698757171631
-1.836734652519226,0.12244893610477448,0.0,6.172734074269993e-16,0.0,1.0,2.7860677242279053
-1.836734652519226,0.20408159494400024,0.0,6.012154626920706e-16,0.0,1.0,2.7757341861724854
-1.836734652519226,0.2857142388820648,0.0,6.122131267209837e-16,0.0,1.0,2.769716739654541
-1.836734652519226,0.3673468828201294,0.0,6.509450846627258e-16,0.0,1.0,2.768023729324341
-1.836734652519226,0.44897955656051636,0.0,7.210652778330746e-16,0.0,1.0,2.7706494331359863
-1.836734652519226,0.5306121706962585,0.0,8.308737820821748e-16,0.0,1.0,2.7775754928588867
-1.836734652519226,0.6122449040412903,0.0,9.903188405568507e-16,0.0,1.0,2.7887706756591797
-1.836734652519226,0.6938775777816772,0.0,1.2140932985184121e-15,0.0,1.0,2.8041913509368896
-1.836734652519226,0.7755101919174194,0.0,1.5197799717650822e-15,0.0,1.0,2.823781728744507
-1.836734652519226,0.8571428656578064,0.0,1.9838394656543227e-15,0.0,1.0,2.8474745750427246
-1.836734652519226,0.9387755393981934,0.0,2.7787438877522252e-15,0.0,1.0,2.875192165374756
-1.836734652519226,1.0204081535339355,0.0,4.9710173300092846e-17,0.0,1.0,2.9068446159362793
-1.836734652519226,1.1020407676696777,0.0,9.98197226348161e-17,0.0,1.0,2.9423351287841797
-1.836734652519226,1.18367338180542,0.0,2.0989231587500247e-16,0.0,1.0,2.981555461883545
-1.836734652519226,1.2653061151504517,0.0,4.3349367471285857e-16,0.0,1.0,3.0243899822235107
-1.836734652519226,1.3469387292861938,0.0,3.6162552317673216e-16,0.0,1.0,3.070716142654419
-1.836734652519226,1.4285714626312256,0.0,1.1789323024421185e-17,0.0,1.0,3.1204047203063965
-1.836734652519226,1.5102040767669678,0.0,2.09740925279293e-17,0.0,1.0,3.1733202934265137
-1.836734652519226,1.59183669090271,0.0,4.997100981701042e-17,0.0,1.0,3.2293241024017334
-1.836734652519226,1.6734693050384521,0.0,5.250999173814967e-16,0.0,1.0,3.288271188735962
-1.836734652519226,1.7551020383834839,0.0,9.358719465191485e-17,0.0,1.0,3.3500161170959473
-1.836734652519226,1.836734652519226,0.0,1.1499349070426433e-17,0.0,1.0,3.4144089221954346
-1.836734652519226,1.9183673858642578,0.0,1.8568234870817513e-15,0.0,1.0,3.4813003540039062
-1.836734652519226,2.0,0.0,8.777993544205039e-16,0.0,1.0,3.5505387783050537
-1.7551020383834839,-2.0,0.0,6.245488248738727e-17,0.0,1.0,4.1354522705078125
-1.7551020383834839,-1.9183673858642578,0.0,1.6350982400476145e-16,0.0,1.0,4.044113636016846
-1.7551020383834839,-1.836734652519226,0.0,3.8283978097807133e-16,0.0,1.0,3.954115390777588
-1.7551020383834839,-1.7551020383834839,0.0,8.113949889106413e-16,0.0,1.0,3.8656017780303955
-1.7551020383834839,-1.6734694242477417,0.0,1.5702722410256215e-15,0.0,1.0,3.7787201404571533
-1.7551020383834839,-1.59183669090271,0.0,2.7804443063938382e-15,0.0,1.0,3.6936209201812744
-1.7551020383834839,-1.5102040767669678,0.0,4.548071031978367e-18,0.0,1.0,3.610459327697754
-1.7551020383834839,-1.4285714626312256,0.0,9.552689513804352e-18,0.0,1.0,3.5293896198272705
-1.7551020383834839,-1.3469388484954834,0.0,5.1400281962550993e-17,0.0,1.0,3.4505703449249268
-1.7551020383834839,-1.2653062343597412,0.0,2.1210225130416854e-16,0.0,1.0,3.3741581439971924
-1.7551020383834839,-1.1836735010147095,0.0,6.502175363005936e-16,0.0,1.0,3.3003129959106445
-1.7551020383834839,-1.1020408868789673,0.0,9.78828213278803e-18,0.0,1.0,3.2291929721832275
-1.7551020383834839,-1.020408272743225,0.0,2.2269078518466793e-16,0.0,1.0,3.160953998565674
-1.7551020383834839,-0.9387755990028381,0.0,1.2502736755856691e-15,0.0,1.0,3.095750570297241
-1.7551020383834839,-0.8571429252624512,0.0,3.576201955367422e-16,0.0,1.0,3.033734083175659
-1.7551020383834839,-0.775510311126709,0.0,2.4066173066991324e-17,0.0,1.0,2.9750516414642334
-1.7551020383834839,-0.6938775777816772,0.0,2.2215556624112162e-15,0.0,1.0,2.9198453426361084
-1.7551020383834839,-0.6122449040412903,0.0,7.314372492117627e-16,0.0,1.0,2.868251085281372
-1.7551020383834839,-0.5306122899055481,0.0,4.3168213593647764e-16,0.0,1.0,2.8203985691070557
-1.7551020383834839,-0.44897961616516113,0.0,2.811963831729269e-16,0.0,1.0,2.776409149169922
-1.7551020383834839,-0.36734697222709656,0.0,3.7328752573408857e-16,0.0,1.0,2.7363955974578857
-1.7551020383834839,-0.285714328289032,0.0,4.035329282283919e-16,0.0,1.0,2.70046067237854
-1.7551020383834839,-0.20408165454864502,0.0,9.626848141691528e-16,0.0,1.0,2.6686973571777344
-1.7551020383834839,-0.12244904041290283,0.0,2.2073906245551641e-16,0.0,1.0,2.641187906265259
-1.7551020383834839,-0.04081636667251587,0.0,4.0191011898057106e-16,0.0,1.0,2.618001699447632
-1.7551020383834839,0.0408162847161293,0.0,1.8951881503617403e-15,0.0,1.0,2.599196195602417
-1.7551020383834839,0.12244893610477448,0.0,6.914190717396149e-16,0.0,1.0,2.58481764793396
-1.7551020383834839,0.20408159494400024,0.0,6.748891178948288e-16,0.0,1.0,2.5748965740203857
-1.7551020383834839,0.2857142388820648,0.0,6.891067247331698e-16,0.0,1.0,2.5694520473480225
-1.7551020383834839,0.3673468828201294,0.0,7.350490506384142e-16,0.0,1.0,2.5684890747070312
-1.7551020383834839,0.44897955656051636,0.0,8.170926089699066e-16,0.0,1.0,2.5719990730285645
-1.7551020383834839,0.5306121706962585,0.0,9.448208893115596e-16,0.0,1.0,2.579960584640503
-1.7551020383834839,0.6122449040412903,0.0,1.1293640634089724e-15,0.0,1.0,2.5923376083374023
-1.7551020383834839,0.6938775777816772,0.0,1.3862032994995527e-15,0.0,1.0,2.609083414077759
-1.7551020383834839,0.7755101919174194,0.0,1.7291217294592592e-15,0.0,1.0,2.6301369667053223
-1.7551020383834839,0.8571428656578064,0.0,2.285076145433474e-15,0.0,1.0,2.6554250717163086
-1.7551020383834839,0.9387755393981934,0.0,3.2723583497133608e-18,0.0,1.0,2.684865713119507
-1.7551020383834839,1.0204081535339355,0.0,6.205480500359742e-17,0.0,1.0,2.718362331390381
-1.7551020383834839,1.1020407676696777,0.0,1.2964306449337037e-16,0.0,1.0,2.755812883377075
-1.7551020383834839,1.18367338180542,0.0,2.788609280488896e-16,0.0,1.0,2.7971014976501465
-1.7551020383834839,1.2653061151504517,0.0,5.953875054380466e-16,0.0,1.0,2.8421080112457275
-1.7551020383834839,1.3469387292861938,0.0,1.6013333627179103e-15,0.0,1.0,2.8907017707824707
-1.7551020383834839,1.4285714626312256,0.0,5.970578411751423e-17,0.0,1.0,2.9427478313446045
-1.7551020383834839,1.5102040767669678,0.0,7.927268029609077e-18,0.0,1.0,2.9981040954589844
