$x$,$y$,L,Parameters,R,Simulation,t
-0.9049567580223083,-0.7668949961662292,14.0,"R = 3.25, L = 14",3.25,2.0,0.23
0.9049566984176636,-0.7668949961662292,14.0,"R = 3.25, L = 14",3.25,3.0,0.23
0.8978196382522583,0.7574657201766968,14.0,"R = 3.25, L = 14",3.25,0.0,0.24
-0.8978195786476135,0.7574657201766968,14.0,"R = 3.25, L = 14",3.25,1.0,0.24
-0.8978196382522583,-0.7574657201766968,14.0,"R = 3.25, L = 14",3.25,2.0,0.24
0.8978195786476135,-0.7574657201766968,14.0,"R = 3.25, L = 14",3.25,3.0,0.24
0.8905649781227112,0.7481265068054199,14.0,"R = 3.25, L = 14",3.25,0.0,0.25
-0.8905649185180664,0.7481265068054199,14.0,"R = 3.25, L = 14",3.25,1.0,0.25
-0.8905649781227112,-0.7481265068054199,14.0,"R = 3.25, L = 14",3.25,2.0,0.25
0.8905649185180664,-0.7481265068054199,14.0,"R = 3.25, L = 14",3.25,3.0,0.25
0.8831939697265625,0.7388788461685181,14.0,"R = 3.25, L = 14",3.25,0.0,0.26
-0.8831939101219177,0.7388788461685181,14.0,"R = 3.25, L = 14",3.25,1.0,0.26
-0.8831939697265625,-0.7388788461685181,14.0,"R = 3.25, L = 14",3.25,2.0,0.26
0.8831939101219177,-0.7388788461685181,14.0,"R = 3.25, L = 14",3.25,3.0,0.26
0.8757078051567078,0.7297242283821106,14.0,"R = 3.25, L = 14",3.25,0.0,0.27
-0.875707745552063,0.7297242283821106,14.0,"R = 3.25, L = 14",3.25,1.0,0.27
-0.8757078051567078,-0.7297242283821106,14.0,"R = 3.25, L = 14",3.25,2.0,0.27
0.875707745552063,-0.7297242283821106,14.0,"R = 3.25, L = 14",3.25,3.0,0.27
0.8681076169013977,0.7206640243530273,14.0,"R = 3.25, L = 14",3.25,0.0,0.28
-0.8681075572967529,0.7206640243530273,14.0,"R = 3.25, L = 14",3.25,1.0,0.28
-0.8681076169013977,-0.7206640243530273,14.0,"R = 3.25, L = 14",3.25,2.0,0.28
0.8681075572967529,-0.7206640243530273,14.0,"R = 3.25, L = 14",3.25,3.0,0.28
0.8603945970535278,0.7116996645927429,14.0,"R = 3.25, L = 14",3.25,0.0,0.29
-0.8603945374488831,0.7116996645927429,14.0,"R = 3.25, L = 14",3.25,1.0,0.29
-0.8603945970535278,-0.7116996645927429,14.0,"R = 3.25, L = 14",3.25,2.0,0.29
0.8603945374488831,-0.7116996645927429,14.0,"R = 3.25, L = 14",3.25,3.0,0.29
0.8525699377059937,0.7028325796127319,14.0,"R = 3.25, L = 14",3.25,0.0,0.3
-0.8525698781013489,0.7028325796127319,14.0,"R = 3.25, L = 14",3.25,1.0,0.3
-0.8525699377059937,-0.7028325796127319,14.0,"R = 3.25, L = 14",3.25,2.0,0.3
0.8525698781013489,-0.7028325796127319,14.0,"R = 3.25, L = 14",3.25,3.0,0.3
0.8452346920967102,0.6947269439697266,14.0,"R = 3.25, L = 14",3.25,0.0,0.31
-0.8452346324920654,0.6947269439697266,14.0,"R = 3.25, L = 14",3.25,1.0,0.31
-0.8452346920967102,-0.6947269439697266,14.0,"R = 3.25, L = 14",3.25,2.0,0.31
0.8452346324920654,-0.6947269439697266,14.0,"R = 3.25, L = 14",3.25,3.0,0.31
0.8378405570983887,0.6866750121116638,14.0,"R = 3.25, L = 14",3.25,0.0,0.32
-0.8378404974937439,0.6866750121116638,14.0,"R = 3.25, L = 14",3.25,1.0,0.32
-0.8378405570983887,-0.6866750121116638,14.0,"R = 3.25, L = 14",3.25,2.0,0.32
0.8378404974937439,-0.6866750121116638,14.0,"R = 3.25, L = 14",3.25,3.0,0.32
0.8303878903388977,0.6786772012710571,14.0,"R = 3.25, L = 14",3.25,0.0,0.33
-0.8303878307342529,0.6786772012710571,14.0,"R = 3.25, L = 14",3.25,1.0,0.33
-0.8303878903388977,-0.6786772012710571,14.0,"R = 3.25, L = 14",3.25,2.0,0.33
0.8303878307342529,-0.6786772012710571,14.0,"R = 3.25, L = 14",3.25,3.0,0.33
0.8228771090507507,0.6707339286804199,14.0,"R = 3.25, L = 14",3.25,0.0,0.34
-0.822877049446106,0.6707339286804199,14.0,"R = 3.25, L = 14",3.25,1.0,0.34
-0.8228771090507507,-0.6707339286804199,14.0,"R = 3.25, L = 14",3.25,2.0,0.34
0.822877049446106,-0.6707339286804199,14.0,"R = 3.25, L = 14",3.25,3.0,0.34
0.8153086304664612,0.6628456711769104,14.0,"R = 3.25, L = 14",3.25,0.0,0.35000000000000003
-0.8153085708618164,0.6628456711769104,14.0,"R = 3.25, L = 14",3.25,1.0,0.35000000000000003
-0.8153086304664612,-0.6628456711769104,14.0,"R = 3.25, L = 14",3.25,2.0,0.35000000000000003
0.8153085708618164,-0.6628456711769104,14.0,"R = 3.25, L = 14",3.25,3.0,0.35000000000000003
0.8076828122138977,0.6550127863883972,14.0,"R = 3.25, L = 14",3.25,0.0,0.36
-0.8076827526092529,0.6550127863883972,14.0,"R = 3.25, L = 14",3.25,1.0,0.36
-0.8076828122138977,-0.6550127863883972,14.0,"R = 3.25, L = 14",3.25,2.0,0.36
0.8076827526092529,-0.6550127863883972,14.0,"R = 3.25, L = 14",3.25,3.0,0.36
0.8000000715255737,0.6472356915473938,14.0,"R = 3.25, L = 14",3.25,0.0,0.37
-0.800000011920929,0.6472356915473938,14.0,"R = 3.25, L = 14",3.25,1.0,0.37
-0.8000000715255737,-0.6472356915473938,14.0,"R = 3.25, L = 14",3.25,2.0,0.37
0.800000011920929,-0.6472356915473938,14.0,"R = 3.25, L = 14",3.25,3.0,0.37
0.7922608256340027,0.6395148634910583,14.0,"R = 3.25, L = 14",3.25,0.0,0.38
-0.7922607660293579,0.6395148634910583,14.0,"R = 3.25, L = 14",3.25,1.0,0.38
-0.7922608256340027,-0.6395148634910583,14.0,"R = 3.25, L = 14",3.25,2.0,0.38
0.7922607660293579,-0.6395148634910583,14.0,"R = 3.25, L = 14",3.25,3.0,0.38
0.784465491771698,0.6318506598472595,14.0,"R = 3.25, L = 14",3.25,0.0,0.39
-0.7844654321670532,0.6318506598472595,14.0,"R = 3.25, L = 14",3.25,1.0,0.39
-0.784465491771698,-0.6318506598472595,14.0,"R = 3.25, L = 14",3.25,2.0,0.39
0.7844654321670532,-0.6318506598472595,14.0,"R = 3.25, L = 14",3.25,3.0,0.39
0.7766144871711731,0.6242434978485107,14.0,"R = 3.25, L = 14",3.25,0.0,0.4
-0.7766144275665283,0.6242434978485107,14.0,"R = 3.25, L = 14",3.25,1.0,0.4
-0.7766144871711731,-0.6242434978485107,14.0,"R = 3.25, L = 14",3.25,2.0,0.4
0.7766144275665283,-0.6242434978485107,14.0,"R = 3.25, L = 14",3.25,3.0,0.4
0.7694344520568848,0.6173872351646423,14.0,"R = 3.25, L = 14",3.25,0.0,0.41000000000000003
-0.76943439245224,0.6173872351646423,14.0,"R = 3.25, L = 14",3.25,1.0,0.41000000000000003
-0.7694344520568848,-0.6173872351646423,14.0,"R = 3.25, L = 14",3.25,2.0,0.41000000000000003
0.76943439245224,-0.6173872351646423,14.0,"R = 3.25, L = 14",3.25,3.0,0.41000000000000003
0.7622252702713013,0.6105616688728333,14.0,"R = 3.25, L = 14",3.25,0.0,0.42
-0.7622252106666565,0.6105616688728333,14.0,"R = 3.25, L = 14",3.25,1.0,0.42
