$x$,$y$,L,Parameters,R,Simulation,t
-2.7324941158294678,3.11521315574646,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.85
-2.717294692993164,3.1022140979766846,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.86
-2.7021090984344482,3.0891988277435303,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.87
-2.6869375705718994,3.076167345046997,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.88
-2.6717798709869385,3.063119649887085,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.89
-2.6566362380981445,3.050055742263794,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.9
-2.6415064334869385,3.036975622177124,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.91
-2.6263880729675293,3.0238823890686035,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.92
-2.611281156539917,3.0107758045196533,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.93
-2.5961856842041016,2.9976561069488525,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.9400000000000001
-2.581101655960083,2.984523296356201,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.9500000000000001
-2.5660290718078613,2.97137713432312,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.96
-2.5509679317474365,2.9582178592681885,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.97
-2.5359184741973877,2.9450454711914062,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.98
-2.5208804607391357,2.9318599700927734,0.14,"R = 0.0325, L = 0.14",0.0325,0,0.99
-2.5058538913726807,2.91866135597229,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.0
-2.4908390045166016,2.905449628829956,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.01
-2.4757864475250244,2.8922808170318604,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.02
-2.4606964588165283,2.879154682159424,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.03
-2.4455692768096924,2.8660717010498047,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.04
-2.4304049015045166,2.853031873703003,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.05
-2.415203332901001,2.8400352001190186,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.06
-2.3999648094177246,2.8270819187164307,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.07
-2.3846895694732666,2.8141720294952393,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.08
-2.369377613067627,2.8013057708740234,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.09
-2.3540291786193848,2.788483142852783,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.1
-2.33864426612854,2.7757041454315186,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.11
-2.3232271671295166,2.7629640102386475,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.12
-2.3077778816223145,2.75026273727417,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.1300000000000001
-2.2922966480255127,2.737600564956665,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.1400000000000001
-2.2767837047576904,2.7249772548675537,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.1500000000000001
-2.2612388134002686,2.712393283843994,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.16
-2.2456624507904053,2.6998484134674072,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.17
-2.2300543785095215,2.687342882156372,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.18
-2.2144148349761963,2.6748766899108887,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.19
-2.198744058609009,2.662449836730957,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.2
-2.18304181098938,2.6500625610351562,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.21
-2.167370319366455,2.637636423110962,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.22
-2.1517298221588135,2.625171661376953,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.23
-2.136120080947876,2.61266827583313,0.14,"R = 0.0325, L = 0.14",0.0325,0,1.24
