$x$,$y$,Goal region,QP relaxation,Safe region,Unsafe region,V
-2.5,-0.8333333730697632,0.0,0.0,0.0,1.0,0.1771637499332428
-2.5,-0.7828283309936523,0.0,0.0,0.0,1.0,0.1789332777261734
-2.5,-0.7323232889175415,0.0,0.0,0.0,1.0,0.1809384822845459
-2.5,-0.6818182468414307,0.0,0.0,0.0,1.0,0.18320614099502563
-2.5,-0.6313132047653198,0.0,0.0,0.0,1.0,0.18576636910438538
-2.5,-0.5808081030845642,0.0,0.0,0.0,1.0,0.1886512041091919
-2.5,-0.5303030610084534,0.0,0.0,0.0,1.0,0.191894993185997
-2.5,-0.47979801893234253,0.0,0.0,0.0,1.0,0.19553358852863312
-2.5,-0.4292929768562317,0.0,0.0,0.0,1.0,0.1996041238307953
-2.5,-0.37878793478012085,0.0,0.0,0.0,1.0,0.2041437178850174
-2.5,-0.3282828629016876,0.0,0.0,0.0,1.0,0.20918937027454376
-2.5,-0.2777778208255768,0.0,0.0,0.0,1.0,0.21477636694908142
-2.5,-0.22727277874946594,0.0,0.0,0.0,1.0,0.22093705832958221
-2.5,-0.17676770687103271,0.0,0.0,0.0,1.0,0.22769923508167267
-2.5,-0.12626266479492188,0.0,0.0,0.0,1.0,0.2350846230983734
-2.5,-0.07575762271881104,0.0,0.0,0.0,1.0,0.24310636520385742
-2.5,-0.0252525731921196,0.0,0.0,0.0,1.0,0.2517673373222351
-2.5,0.02525247633457184,0.0,0.0,0.0,1.0,0.26105737686157227
-2.5,0.07575753331184387,0.0,0.0,0.0,1.0,0.27095121145248413
-2.5,0.1262625753879547,0.0,0.0,0.0,1.0,0.2814066410064697
-2.5,0.17676761746406555,0.0,0.0,0.0,1.0,0.2923627495765686
-2.5,0.22727268934249878,0.0,0.0,0.0,1.0,0.3037397265434265
-2.5,0.2777777314186096,0.0,0.0,0.0,1.0,0.31543847918510437
-2.5,0.3282828629016876,0.0,0.0,0.0,1.0,0.32734256982803345
-2.5,0.37878790497779846,0.0,0.0,0.0,1.0,0.33932065963745117
-2.5,0.4292929768562317,0.0,0.0,0.0,1.0,0.3512307107448578
-2.5,0.47979801893234253,0.0,0.0,0.0,1.0,0.3629245162010193
-2.5,0.5303030610084534,0.0,0.0,0.0,1.0,0.37425416707992554
-2.5,0.5808081030845642,0.0,0.0,0.0,1.0,0.3850773870944977
-2.5,0.6313132047653198,0.0,0.0,0.0,1.0,0.3952644467353821
-2.5,0.6818182468414307,0.0,0.0,0.0,1.0,0.40470266342163086
-2.5,0.7323232889175415,0.0,0.0,0.0,1.0,0.4133011996746063
-2.5,0.7828283309936523,0.0,0.0,0.0,1.0,0.42099425196647644
-2.5,0.8333333730697632,0.0,0.0,0.0,1.0,0.42774203419685364
-2.5,0.883838415145874,0.0,0.0,0.0,1.0,0.43353140354156494
-2.5,0.9343434572219849,0.0,0.0,0.0,1.0,0.4383745491504669
